design,outcome,model,r2_in,rmse_in,r2_cv,rmse_cv,increment_M3_minus_M2,increment_M4_minus_M3
D-A95,conversion_rate,M3 spline + regime,0.6603255056509484,0.011376135870790489,0.6592823315972018,0.011393591100028909,0.0032017638764603173,-0.003073454748142579
D-A95,conversion_rate,M4 regime-specific splines,0.6577509958356951,0.011419166312227327,0.6562088768490593,0.011444863861231721,0.0032017638764603173,-0.003073454748142579
S-A06,mean_total_shift,M1 regime,0.975980096330934,0.00355743655960906,0.9759787478655997,0.0035575364145589644,0.000246271003974452,7.490691912304115e-07
S-A06,mean_total_shift,M2 spline(exposure),0.9877926704516932,0.0025360736852774184,0.9877798787846879,0.0025374020722942823,0.000246271003974452,7.490691912304115e-07
S-A06,mean_total_shift,M3 spline + regime,0.9880497769610995,0.0025092246126115474,0.9880261497886623,0.002511703922300464,0.000246271003974452,7.490691912304115e-07
S-A06,mean_total_shift,M4 regime-specific splines,0.9880507189160208,0.002509125718095405,0.9880268988578536,0.00251162535653346,0.000246271003974452,7.490691912304115e-07
S-A06,mean_signed_shift,M1 regime,0.9485267957042821,0.0043019092763719935,0.9485225734336451,0.004302085712373955,0.0005397026531264171,1.2082655754808158e-06
S-A06,mean_signed_shift,M2 spline(exposure),0.9721691594352349,0.003163252111401997,0.9721291392798621,0.003165525638922077,0.0005397026531264171,1.2082655754808158e-06
S-A06,mean_signed_shift,M3 spline + regime,0.972741701286511,0.0031305454845941857,0.9726688419329885,0.0031347265472030854,0.0005397026531264171,1.2082655754808158e-06
S-A06,mean_signed_shift,M4 regime-specific splines,0.972743641255434,0.0031304340823919397,0.972670050198564,0.003134657255883126,0.0005397026531264171,1.2082655754808158e-06
S-A06,conversion_rate,M1 regime,0.8953162044793634,0.006079217561193038,0.8952443448643737,0.0060813037259550935,9.233443618439363e-05,-6.448997970465165e-05
S-A06,conversion_rate,M2 spline(exposure),0.9111911756589063,0.0055993293888451775,0.9108652169283902,0.005609595703301737,9.233443618439363e-05,-6.448997970465165e-05
S-A06,conversion_rate,M3 spline + regime,0.9114654483516335,0.005590676359583857,0.9109575513645746,0.00560668946935953,9.233443618439363e-05,-6.448997970465165e-05
S-A06,conversion_rate,M4 regime-specific splines,0.9114732756264499,0.005590429220321861,0.9108930613848699,0.005608719455341495,9.233443618439363e-05,-6.448997970465165e-05
S-A18,mean_total_shift,M1 regime,0.9811285282009908,0.009487976950439677,0.9811273366556482,0.009488276481298123,7.651062801228292e-05,6.767839733079484e-07
S-A18,mean_total_shift,M2 spline(exposure),0.9828034178372443,0.009057155086794088,0.9827581650531845,0.00906906420327323,7.651062801228292e-05,6.767839733079484e-07
S-A18,mean_total_shift,M3 spline + regime,0.9828818828348331,0.009036468354820072,0.9828346756811968,0.009048919848416083,7.651062801228292e-05,6.767839733079484e-07
S-A18,mean_total_shift,M4 regime-specific splines,0.9828827099951217,0.00903625002771092,0.9828353524651701,0.009048741459001992,7.651062801228292e-05,6.767839733079484e-07
S-A18,mean_signed_shift,M1 regime,0.9574778024200794,0.011930086140313103,0.9574719484928271,0.011930907304986124,0.00014447066216960458,2.3270460602908827e-07
S-A18,mean_signed_shift,M2 spline(exposure),0.9606473132881742,0.011476855746397289,0.9605455097000613,0.01149169120655286,0.00014447066216960458,2.3270460602908827e-07
S-A18,mean_signed_shift,M3 spline + regime,0.9607984653917819,0.011454793467833435,0.9606899803622309,0.011470632325602153,0.00014447066216960458,2.3270460602908827e-07
S-A18,mean_signed_shift,M4 regime-specific splines,0.960800013086586,0.011454567345316856,0.9606902130668369,0.011470598374042839,0.00014447066216960458,2.3270460602908827e-07
S-A18,conversion_rate,M1 regime,0.9300481576125436,0.021928393252261383,0.9300329357368275,0.021930778987280304,0.0002497082859876931,-4.46811452525786e-06
S-A18,conversion_rate,M2 spline(exposure),0.9344412447651919,0.02122866002039672,0.9343233498226062,0.021247739298788097,0.0002497082859876931,-4.46811452525786e-06
S-A18,conversion_rate,M3 spline + regime,0.9346916171510987,0.021188084550442614,0.9345730581085939,0.021207307963037565,0.0002497082859876931,-4.46811452525786e-06
S-A18,conversion_rate,M4 regime-specific splines,0.934695422125994,0.02118746731494715,0.9345685899940687,0.02120803209181613,0.0002497082859876931,-4.46811452525786e-06
J-S06-D05,mean_total_shift,M1 regime,0.00013438376404717456,0.00023247614312783943,-0.0005392147293827865,0.00023255443825666788,0.00011795345983489636,-0.006783624632584417
J-S06-D05,mean_total_shift,M2 spline(exposure),0.5936896716075886,0.0001481960083226865,0.5925889637077619,0.00014839660646206722,0.00011795345983489636,-0.006783624632584417
J-S06-D05,mean_total_shift,M3 spline + regime,0.5940198597271089,0.00014813578033536705,0.5927069171675968,0.0001483751230476358,0.00011795345983489636,-0.006783624632584417
J-S06-D05,mean_total_shift,M4 regime-specific splines,0.5949943640944311,0.00014795788284287234,0.5859232925350124,0.00014960564318638043,0.00011795345983489636,-0.006783624632584417
J-S06-D05,mean_signed_shift,M1 regime,6.479767194478292e-06,0.00026628960156367275,-0.0002568516628904671,0.0002663246606937552,-7.424658081345292e-05,-0.005241315062740948
J-S06-D05,mean_signed_shift,M2 spline(exposure),0.1956804008783668,0.00023881958571860963,0.1943377631617076,0.00023901883144255697,-7.424658081345292e-05,-0.005241315062740948
