effect,order,ss,share_sys,design,outcome
topology × inoculation,2,2.421479646030687e-06,0.007955348355451874,E-SD,mean_total_shift
topology × seeding_regime,2,8.748259896113221e-07,0.0028740879607099504,E-SD,mean_total_shift
message_condition × inoculation,2,4.7516088942883925e-07,0.0015610580937523446,E-SD,mean_total_shift
message_condition × seeding_regime,2,1.1445927657631385e-06,0.0037603595767166332,E-SD,mean_total_shift
inoculation × seeding_regime,2,2.0171323174327508e-06,0.0066269358449995005,E-SD,mean_total_shift
topology × message_condition × inoculation,3,4.421170554289012e-06,0.014524983497544382,E-SD,mean_total_shift
topology × message_condition × seeding_regime,3,3.40012822461547e-06,0.011170527294895706,E-SD,mean_total_shift
topology × inoculation × seeding_regime,3,1.2018794499640867e-06,0.003948564969933277,E-SD,mean_total_shift
message_condition × inoculation × seeding_regime,3,1.5200371915950989e-06,0.0049938166493382575,E-SD,mean_total_shift
topology × message_condition × inoculation × seeding_regime,4,1.035559839262872e-05,0.034021509442609184,E-SD,mean_total_shift
topology,1,2.3781074122171517e-06,0.003029500776227162,E-SD,mean_signed_shift
message_condition,1,0.0007230832257162545,0.9211447650894438,E-SD,mean_signed_shift
inoculation,1,1.4333084431228624e-05,0.018259095525737158,E-SD,mean_signed_shift
seeding_regime,1,1.5772916277917756e-07,0.00020093315323704389,E-SD,mean_signed_shift
topology × message_condition,2,2.822938564579769e-06,0.003596176744877445,E-SD,mean_signed_shift
topology × inoculation,2,8.209773390391936e-06,0.010458533004467328,E-SD,mean_signed_shift
topology × seeding_regime,2,6.564032378552237e-07,0.0008362002945638355,E-SD,mean_signed_shift
message_condition × inoculation,2,2.287774506608926e-06,0.0029144245579482606,E-SD,mean_signed_shift
message_condition × seeding_regime,2,1.6571420425969376e-06,0.0021110539745072157,E-SD,mean_signed_shift
inoculation × seeding_regime,2,2.1265201692371664e-06,0.0027090006407071605,E-SD,mean_signed_shift
topology × message_condition × inoculation,3,3.884861777262078e-06,0.004948974007350691,E-SD,mean_signed_shift
topology × message_condition × seeding_regime,3,4.3751249904359e-06,0.005573526446502709,E-SD,mean_signed_shift
