design,outcome,factor,metric,point,lo95,median,hi95,replications_design,replications_benchmark,point_splits,bootstrap_draws,splits_per_bootstrap,denominator
C-D5,mean_total_shift,seeding_regime,B_total,5.92318023093664e-05,5.910698405666749e-05,5.92303866302396e-05,5.934626549589977e-05,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D5,mean_total_shift,seeding_regime,B_factor,4.203215798126968e-05,4.194267567049097e-05,4.203216035978598e-05,4.211470186684959e-05,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D5,mean_total_shift,seeding_regime,q,0.0125064537353867,0.012481326130407283,0.012506055825244208,0.012530568545356046,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D5,mean_total_shift,seeding_regime,rho,0.0143462179332662,0.01431766200031426,0.014345734673405039,0.014373371977940086,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D5,mean_total_shift,seeding_regime,tau,0.017624119979178,0.017586197492748618,0.017623938037851603,0.017656909399349406,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D50,mean_total_shift,topology,B_total,0.0033608374420592,0.003358532938486925,0.0033608718756817004,0.0033632568199285415,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D50,mean_total_shift,topology,B_factor,1.204585644177782e-06,1.1570302009310543e-06,1.2031806363759423e-06,1.251451532486371e-06,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D50,mean_total_shift,topology,q,0.0003584183004815,0.0003442335328258775,0.0003580267913438932,0.0003723872618140663,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D50,mean_total_shift,topology,rho,1.0,1.0,1.0,1.0,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D50,mean_total_shift,topology,tau,1.0,1.0,1.0,1.0,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D50,mean_total_shift,message_condition,B_total,0.0033608374420592,0.003358532938486925,0.0033608718756817004,0.0033632568199285415,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D50,mean_total_shift,message_condition,B_factor,0.0004289325354098,0.0004282412554825992,0.0004289137373278483,0.0004296768342385245,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D50,mean_total_shift,message_condition,q,0.1276266831718777,0.12747508081080244,0.12762524756380578,0.12777862445230523,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D50,mean_total_shift,message_condition,rho,1.0,1.0,1.0,1.0,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D50,mean_total_shift,message_condition,tau,1.0,1.0,1.0,1.0,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D50,mean_total_shift,inoculation,B_total,0.0033608374420592,0.003358532938486925,0.0033608718756817004,0.0033632568199285415,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D50,mean_total_shift,inoculation,B_factor,8.578930712903375e-07,8.288110969360991e-07,8.577025981715324e-07,8.85259636653038e-07,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D50,mean_total_shift,inoculation,q,0.0002552616977406,0.0002465356645034282,0.00025521664325034465,0.00026348750502129184,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D50,mean_total_shift,inoculation,rho,1.0,1.0,1.0,1.0,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D50,mean_total_shift,inoculation,tau,1.0,1.0,1.0,1.0,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D50,mean_total_shift,seeding_regime,B_total,0.0033608374420592,0.003358532938486925,0.0033608718756817004,0.0033632568199285415,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D50,mean_total_shift,seeding_regime,B_factor,0.0029298424279339,0.002928066679366463,0.0029298575501382563,0.0029317714032592174,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
C-D50,mean_total_shift,seeding_regime,q,0.8717596368299,0.8716073790440221,0.8717621713213399,0.8719082460798133,30,30,100,1000,20,C-D50 repeated-cross-fit B at native R=30
