design,outcome,metric,lo95,median,hi95
CS-45,conversion_rate,shapley_share__seeding_regime,0.7461097455681216,0.7524475064333762,0.7595348964486658
CS-45,conversion_rate,tau,0.09787409221588274,0.10009036381242137,0.10230895087222981
CS-45,mean_signed_shift,main_rho__message_condition,0.3690945874025985,0.3729979079422029,0.3772983749735046
CS-45,mean_signed_shift,main_rho__seeding_regime,0.12969887066967942,0.13044026370268413,0.131210405589197
CS-45,mean_signed_shift,main_share__message_condition,0.18566252845896797,0.18698241536206095,0.18842558042760274
CS-45,mean_signed_shift,main_share__seeding_regime,0.7121255848776236,0.7141328844030392,0.7161435561345336
CS-45,mean_signed_shift,omega,0.46502283492458324,0.5038344264196988,0.5485012619449058
CS-45,mean_signed_shift,shapley_rho__message_condition,0.2799692426159032,0.28303368703994924,0.2863251446897379
CS-45,mean_signed_shift,shapley_rho__seeding_regime,0.13053521551597425,0.13130216135421643,0.132086771469475
CS-45,mean_signed_shift,shapley_share__message_condition,0.23332264625553892,0.23491186570228145,0.23656356099191692
CS-45,mean_signed_shift,shapley_share__seeding_regime,0.7606729058260714,0.7623639125705567,0.7640647661968883
CS-45,mean_signed_shift,tau,0.14961266742073445,0.15049597680973192,0.15142524990973813
CS-45,mean_total_shift,main_rho__message_condition,0.4847935013318909,0.4878605058965195,0.4908319714169433
CS-45,mean_total_shift,main_rho__seeding_regime,0.17865407733369887,0.17930939829520232,0.18001417452398666
CS-45,mean_total_shift,main_share__message_condition,0.1921166827630847,0.1928477920987151,0.1936282752459856
CS-45,mean_total_shift,main_share__seeding_regime,0.7169959848463154,0.7180115715538131,0.7190217637264188
CS-45,mean_total_shift,omega,0.45541573449974704,0.4962258500687602,0.5411917764692722
CS-45,mean_total_shift,shapley_rho__message_condition,0.37994994426423845,0.3825666472715878,0.38503832982741426
CS-45,mean_total_shift,shapley_rho__seeding_regime,0.17953666993690748,0.18021599136968405,0.18091218565268996
CS-45,mean_total_shift,shapley_share__message_condition,0.23601572914742217,0.23686635201583428,0.23773552963176436
CS-45,mean_total_shift,shapley_share__seeding_regime,0.7612757594609029,0.7621499647413261,0.7629852062828348
CS-45,mean_total_shift,tau,0.20528453621237405,0.2061126649240651,0.20694966388414218
CS-45-R,conversion_rate,main_rho__message_condition,0.20682943207997603,0.21582205906293778,0.22487228700342482
CS-45-R,conversion_rate,main_rho__seeding_regime,0.10307625031155561,0.1057308340197441,0.10852210907405765
CS-45-R,conversion_rate,main_share__message_condition,0.18028986702175895,0.18551310077551655,0.19058748576741485
CS-45-R,conversion_rate,main_share__seeding_regime,0.6932276830075353,0.700814349030839,0.7086858844825268
CS-45-R,conversion_rate,omega,0.5420474580445835,0.5918498736351806,0.6462741101121614
CS-45-R,conversion_rate,shapley_rho__message_condition,0.1517932620161438,0.158162951560962,0.16509585780453614
CS-45-R,conversion_rate,shapley_rho__seeding_regime,0.10115385079164001,0.10369736690284365,0.10640430178677153
CS-45-R,conversion_rate,shapley_share__message_condition,0.23272600139523036,0.23917422316430847,0.24512957836802704
CS-45-R,conversion_rate,shapley_share__seeding_regime,0.7490058209966345,0.7550497934248747,0.7616558536289769
CS-45-R,conversion_rate,tau,0.11068280215512229,0.11344736863197291,0.11630830091713415
CS-45-R,mean_signed_shift,main_rho__message_condition,0.4148924954017732,0.42068411403071504,0.42635103737325825
CS-45-R,mean_signed_shift,main_rho__seeding_regime,0.14685419400780503,0.14802250448624654,0.1490666087975605
CS-45-R,mean_signed_shift,main_share__message_condition,0.1832756718331271,0.18459946948178146,0.1859734702786175
CS-45-R,mean_signed_shift,main_share__seeding_regime,0.7076952409947831,0.709557079368232,0.711401622676273
CS-45-R,mean_signed_shift,omega,0.4708401165561967,0.5131400898532509,0.5641756901318049
CS-45-R,mean_signed_shift,shapley_rho__message_condition,0.3204155201274418,0.32505743361745837,0.32957946729765075
CS-45-R,mean_signed_shift,shapley_rho__seeding_regime,0.14854554270369727,0.14977881407784102,0.15084785464889844
CS-45-R,mean_signed_shift,shapley_share__message_condition,0.23464035359522714,0.23616313335596018,0.2377581108691331
CS-45-R,mean_signed_shift,shapley_share__seeding_regime,0.7598372367024215,0.7614256766786116,0.7629722203444959
CS-45-R,mean_signed_shift,tau,0.17032069729462715,0.17191387693965296,0.17314058510221708
CS-45-R,mean_total_shift,main_rho__message_condition,0.547481578458823,0.5519554379082015,0.5562803059219664
CS-45-R,mean_total_shift,main_rho__seeding_regime,0.21174990843951974,0.21283867581408344,0.21381169619047277
CS-45-R,mean_total_shift,main_share__message_condition,0.18416503989819374,0.18483863532354144,0.18548860804421757
CS-45-R,mean_total_shift,main_share__seeding_regime,0.7210195953573401,0.7218809170366102,0.7228117429912342
CS-45-R,mean_total_shift,omega,0.4379699535175049,0.4814752107203437,0.5339322639323747
CS-45-R,mean_total_shift,shapley_rho__message_condition,0.4365745535814024,0.44057492224673195,0.44420356791802484
CS-45-R,mean_total_shift,shapley_rho__seeding_regime,0.2133196192025374,0.21445938675552415,0.21547153330403285
CS-45-R,mean_total_shift,shapley_share__message_condition,0.23029403004131882,0.23104437492447427,0.23178741495927283
CS-45-R,mean_total_shift,shapley_share__seeding_regime,0.7674560351854866,0.7682082445521994,0.7689589310178612
CS-45-R,mean_total_shift,tau,0.24203177723089522,0.2433807402742032,0.24458348972860366
D-A95,conversion_rate,main_rho__message_condition,0.7314311703673304,0.7531671253916076,0.7787104448599587
D-A95,conversion_rate,main_rho__seeding_regime,0.0002871519386627791,0.00047490931606691193,0.0007296617232405978
D-A95,conversion_rate,main_share__message_condition,0.9644482119460117,0.9703607298451793,0.9748368137878783
D-A95,conversion_rate,main_share__seeding_regime,0.0028710729535681434,0.0047328406238909375,0.007232851928794011
D-A95,conversion_rate,omega,0.9886418792176419,1.071204296276318,1.168911274891422
D-A95,conversion_rate,shapley_rho__message_condition,0.417196032106708,0.4299642222164432,0.4449081291220622
D-A95,conversion_rate,shapley_rho__seeding_regime,0.000609723708232996,0.0008119611467233127,0.001068262785092663
D-A95,conversion_rate,shapley_share__message_condition,0.9699180275340626,0.9749277842552693,0.978573452730775
D-A95,conversion_rate,shapley_share__seeding_regime,0.006648218180918397,0.00888220210231003,0.011570392370040327
D-A95,conversion_rate,tau,0.07375069618779242,0.07571869904544656,0.07787079361881107
D-A95,mean_signed_shift,main_rho__message_condition,1.3882753718255072,1.4011341695209691,1.4152301727565937
