design,outcome,factor,replications,B_total_U,B_factor_U,q_proportion,rho_proportion,tau_proportion,in_sample_B_total,in_sample_B_factor
C-D1,mean_signed_shift,topology,30,7.643131753517968e-07,1.2913889349313363e-09,5.723132993315809e-07,0.0010924954186320457,0.0003387256799838091,7.732043321804493e-07,3.657370253175773e-09
C-D1,mean_signed_shift,message_condition,30,7.643131753517968e-07,7.573142172623859e-07,0.00033562390584924355,0.002687062757580952,0.0003387256799838091,7.732043321804493e-07,7.597561081193835e-07
C-D1,mean_signed_shift,inoculation,30,7.643131753517968e-07,5.11169377074759e-09,2.2653828354699297e-06,0.0031286889945849475,0.0003387256799838091,7.732043321804493e-07,7.189073375151666e-09
C-D1,mean_signed_shift,seeding_regime,30,7.643131753517968e-07,5.958753837330172e-10,2.6407799976453063e-07,3.022011462538918e-07,0.0003387256799838091,7.732043321804493e-07,2.6017804327391624e-09
C-D10,mean_signed_shift,topology,30,9.561950520382896e-05,7.218528523226446e-08,3.1990826030010184e-05,0.06106765458160714,0.042376322905822585,9.566239878415363e-05,8.325113471178774e-08
C-D10,mean_signed_shift,message_condition,30,9.561950520382896e-05,1.969832112556294e-05,0.008729834095460427,0.06989255434119422,0.042376322905822585,9.566239878415363e-05,1.9710456233783828e-05
C-D10,mean_signed_shift,inoculation,30,9.561950520382896e-05,1.5203427651114848e-07,6.737802690419651e-05,0.09305486381875887,0.042376322905822585,9.566239878415363e-05,1.618983739055832e-07
C-D10,mean_signed_shift,seeding_regime,30,9.561950520382896e-05,7.56969645165226e-05,0.03354711995742795,0.03839008972232153,0.042376322905822585,9.566239878415363e-05,7.570679304175244e-05
C-D5,mean_signed_shift,topology,30,2.1112562808369886e-05,1.7385898756623306e-08,7.705022716318201e-06,0.014708206200807705,0.009356592852366242,2.1137363806657747e-05,2.4110634420496595e-08
C-D5,mean_signed_shift,message_condition,30,2.1112562808369886e-05,6.041249116918754e-06,0.002677339971456088,0.021435244633360544,0.009356592852366242,2.1137363806657747e-05,6.047990263853021e-06
C-D5,mean_signed_shift,inoculation,30,2.1112562808369886e-05,5.064087376715482e-08,2.2442847977674122e-05,0.03099550785654574,0.009356592852366242,2.1137363806657747e-05,5.626501516157523e-08
C-D5,mean_signed_shift,seeding_regime,30,2.1112562808369886e-05,1.5003286918927356e-05,0.0066491050102161645,0.007608991121719733,0.009356592852366242,2.1137363806657747e-05,1.5008997893222658e-05
C-D50,mean_signed_shift,topology,30,0.0022564370536899666,1.1820543252696956e-06,0.0005238587636808544,1.0,1.0,0.0022566201586907675,1.230916591498974e-06
C-D50,mean_signed_shift,message_condition,30,0.0022564370536899666,0.0002818371901161563,0.12490363498297727,1.0,1.0,0.0022566201586907675,0.00028188759231405206
C-D50,mean_signed_shift,inoculation,30,0.0022564370536899666,1.6338133255158232e-06,0.0007240677610944376,1.0,1.0,0.0022566201586907675,1.6757968998783594e-06
C-D50,mean_signed_shift,seeding_regime,30,0.0022564370536899666,0.001971783995923025,0.8738484384922476,1.0,1.0,0.0022566201586907675,0.0019718258528853387
CS-0,mean_signed_shift,topology,30,7.02710941447598e-05,2.2216527433564577e-07,9.845844091787866e-05,0.1879484466883169,0.03114250141826248,7.036324681528628e-05,2.46771828482416e-07
CS-0,mean_signed_shift,message_condition,30,7.02710941447598e-05,6.940197152035289e-05,0.030757326647716313,0.24624845107116483,0.03114250141826248,7.036324681528628e-05,6.942693701943306e-05
CS-0,mean_signed_shift,inoculation,30,7.02710941447598e-05,5.294065509840462e-07,0.00023462057145281505,0.32403123583099885,0.03114250141826248,7.036324681528628e-05,5.506066524493594e-07
CS-0,mean_signed_shift,seeding_regime,30,7.02710941447598e-05,1.1755079908730013e-07,5.209575817551326e-05,5.961646880710817e-05,0.03114250141826248,7.036324681528628e-05,1.3893131492154206e-07
CS-15,mean_signed_shift,topology,30,9.702707163084393e-05,1.9483640957969914e-07,8.634692878362454e-05,0.16482864231747182,0.04300012334586286,9.712452542164575e-05,2.2078570957638208e-07
CS-15,mean_signed_shift,message_condition,30,9.702707163084393e-05,6.900388836408184e-05,0.03058090552592164,0.24483599320459662,0.04300012334586286,9.712452542164575e-05,6.903034431501891e-05
CS-15,mean_signed_shift,inoculation,30,9.702707163084393e-05,5.073301905622526e-07,0.00022483684609442666,0.31051906765546766,0.04300012334586286,9.712452542164575e-05,5.305135444324847e-07
CS-15,mean_signed_shift,seeding_regime,30,9.702707163084393e-05,2.732101666662022e-05,0.012108034045063202,0.013855988649421407,0.04300012334586286,9.712452542164575e-05,2.734288185261806e-05
CS-30,mean_signed_shift,topology,30,0.00018796708118135397,2.1947453676122502e-07,9.726596910927201e-05,0.18567212358124918,0.08330260348896955,0.0001880612010535817,2.443178274803614e-07
CS-30,mean_signed_shift,message_condition,30,0.00018796708118135397,7.284460632601298e-05,0.0322830216809681,0.2584634281089406,0.08330260348896955,0.0001880612010535817,7.286970851839288e-05
CS-30,mean_signed_shift,inoculation,30,0.00018796708118135397,5.117570745142796e-07,0.00022679873727361453,0.3132286085086918,0.08330260348896955,0.0001880612010535817,5.343700038800641e-07
CS-30,mean_signed_shift,seeding_regime,30,0.00018796708118135397,0.00011439124324406558,0.0506955171016186,0.05801408444362443,0.08330260348896955,0.0001880612010535817,0.00011441280470382846
CS-45,mean_signed_shift,topology,30,0.00033947792681433034,2.722087241181845e-07,0.00012063652459218384,0.23028444488461036,0.15044865809980376,0.00033956993205690606,2.968701304939264e-07
CS-45,mean_signed_shift,message_condition,30,0.00033947792681433034,7.974179109514616e-05,0.035339692266063386,0.2829356589252164,0.15044865809980376,0.00033956993205690606,7.976692556349734e-05
CS-45,mean_signed_shift,inoculation,30,0.00033947792681433034,5.627043126321817e-07,0.00024937735874882373,0.3444116312703755,0.15044865809980376,0.00033956993205690606,5.844634646057799e-07
CS-45,mean_signed_shift,seeding_regime,30,0.00033947792681433034,0.000258901222682434,0.11473895195039945,0.13130303482417607,0.15044865809980376,0.00033956993205690606,0.0002589216728983091
CS-45-R,mean_signed_shift,topology,30,0.0003876820336150123,2.1304067924597758e-07,9.441463430038553e-05,0.18022917787418152,0.1718115880879696,0.0003877756751483129,2.3743416125388466e-07
CS-45-R,mean_signed_shift,message_condition,30,0.0003876820336150123,9.15471845198199e-05,0.04057156585427995,0.32482293937890055,0.1718115880879696,0.0003877756751483129,9.157271223895039e-05
CS-45-R,mean_signed_shift,inoculation,30,0.0003876820336150123,6.28069996590292e-07,0.0002783458973797674,0.38441968049930025,0.1718115880879696,0.0003877756751483129,6.505966990456597e-07
CS-45-R,mean_signed_shift,seeding_regime,30,0.0003876820336150123,0.00029529373841935617,0.13086726170200952,0.14975967906724197,0.1718115880879696,0.0003877756751483129,0.00029531493204906296
D-A95,mean_signed_shift,topology,30,0.00024255398408657908,7.275294595049003e-07,0.00032242399951515,0.6154788692464777,0.10749423906593314,0.0002427358002693391,7.747176951357192e-07
D-A95,mean_signed_shift,message_condition,30,0.00024255398408657908,0.0002388818688942305,0.10586684370547159,0.8475881724330909,0.10749423906593314,0.0002427358002693391,0.00023893089237060676
