design,outcome,factor,replications,splits,mean_B_total,mean_B_factor,split_sd_B_factor,split_q025_B_factor,split_q975_B_factor,positive_frequency,sign_stability,factor_ranking_agreement,q_point,rho_point,tau_point
J-S06-D95,mean_total_shift,seeding_regime,30,100,5.124976724063643e-06,4.709853392195593e-07,8.94677987567727e-10,4.691704412480018e-07,4.72403557090837e-07,1.0,1.0,1.0,0.00014013927996796418,0.0001607544947568025,0.0015249106249314622
J-S14-D50,mean_total_shift,topology,30,100,7.836817692590232e-06,2.9672446398149516e-07,2.368637470504343e-09,2.925828699455023e-07,3.0053999269900673e-07,1.0,1.0,1.0,8.82888473771839e-05,0.2463290720885449,0.002331805041956578
J-S14-D50,mean_total_shift,message_condition,30,100,7.836817692590232e-06,6.6616295251422415e-06,2.4204404792905008e-09,6.6569157128592675e-06,6.6653003058950065e-06,1.0,1.0,1.0,0.0019821338103935527,0.015530716313642402,0.002331805041956578
J-S14-D50,mean_total_shift,inoculation,30,100,7.836817692590232e-06,2.0335826677646372e-07,2.0203257177710052e-09,1.9904991168852478e-07,2.066366637906952e-07,1.0,1.0,1.0,6.0508212694709085e-05,0.2370438386576513,0.002331805041956578
J-S14-D50,mean_total_shift,seeding_regime,30,100,7.836817692590232e-06,6.751054366900316e-07,2.2949890131896722e-09,6.704709597438887e-07,6.792452805986325e-07,1.0,1.0,1.0,0.0002008741714911327,0.00023042380376957943,0.002331805041956578
J-S14-D95,mean_total_shift,topology,30,100,3.289283954050168e-05,7.630174329874779e-07,5.137305981139827e-09,7.534134133405162e-07,7.715137447167129e-07,1.0,1.0,1.0,0.00022703193657589105,0.6334273006451885,0.009787096254303662
J-S14-D95,mean_total_shift,message_condition,30,100,3.289283954050168e-05,2.6933124172088743e-05,4.5444933842948736e-09,2.6923871167922763e-05,2.6940474655407067e-05,1.0,1.0,1.0,0.008013813413000486,0.06279104975413409,0.009787096254303662
J-S14-D95,mean_total_shift,inoculation,30,100,3.289283954050168e-05,8.019831894273611e-07,4.434568254810636e-09,7.913081527114416e-07,8.094457874485734e-07,1.0,1.0,1.0,0.00023862599820834182,0.9348288455356287,0.009787096254303662
J-S14-D95,mean_total_shift,seeding_regime,30,100,3.289283954050168e-05,4.3947147459980946e-06,4.3374005019520525e-09,4.3858984577881595e-06,4.402831515856749e-06,1.0,1.0,1.0,0.0013076249065189403,0.0014999833110810653,0.009787096254303662
J-S18-D05,mean_total_shift,topology,60,100,1.0166890003192449e-07,2.1555538468383143e-09,2.4902083124768544e-10,1.7157278082876615e-09,2.6068222611526746e-09,1.0,1.0,1.0,6.413740277534989e-07,0.0017894566959658878,3.0251061464499064e-05
J-S18-D05,mean_total_shift,message_condition,60,100,1.0166890003192449e-07,9.593848617890847e-08,2.4727739550561175e-10,9.536587776172144e-08,9.632564156928875e-08,1.0,1.0,1.0,2.854600611689354e-05,0.00022366800897309207,3.0251061464499064e-05
J-S18-D05,mean_total_shift,inoculation,60,100,1.0166890003192449e-07,3.3291651258717844e-09,2.27178461467917e-10,2.787810060592595e-09,3.712913220543795e-09,1.0,1.0,1.0,9.905760642299708e-07,0.003880629459874833,3.0251061464499064e-05
J-S18-D05,mean_total_shift,seeding_regime,60,100,1.0166890003192449e-07,2.4569488030591205e-10,2.3804202227368033e-10,-2.907842392952097e-10,6.212874803194417e-10,0.89,0.89,1.0,7.310525562205392e-08,8.385941781830673e-08,3.0251061464499064e-05
J-S18-D50,mean_total_shift,topology,30,100,1.3476028966981853e-05,5.44624094817838e-07,3.708644777295878e-09,5.384468305098086e-07,5.506231377960924e-07,1.0,1.0,1.0,0.0001620501152486967,0.4521256727989515,0.004009723528527696
J-S18-D50,mean_total_shift,message_condition,30,100,1.3476028966981853e-05,1.105099686695618e-05,4.134334306672466e-09,1.104266687217583e-05,1.1058320609636258e-05,1.0,1.0,1.0,0.003288167624133879,0.025763951098734018,0.004009723528527696
J-S18-D50,mean_total_shift,inoculation,30,100,1.3476028966981853e-05,3.97443685480415e-07,3.258547525225497e-09,3.916298998713644e-07,4.040948861940964e-07,1.0,1.0,1.0,0.00011825733684902426,0.46327881501901974,0.004009723528527696
J-S18-D50,mean_total_shift,seeding_regime,30,100,1.3476028966981853e-05,1.4829643197274182e-06,3.614169242233593e-09,1.4752670599561822e-06,1.489784025489244e-06,1.0,1.0,1.0,0.00044124845229609585,0.0005061583877646234,0.004009723528527696
J-S18-D95,mean_total_shift,topology,30,100,5.6458704288725505e-05,1.3014693972164743e-06,7.395659274614131e-09,1.2847737611536858e-06,1.3124883389658653e-06,1.0,1.0,0.78,0.00038724556592033055,1.0804291114600013,0.016798998839447587
J-S18-D95,mean_total_shift,message_condition,30,100,5.6458704288725505e-05,4.413448633061005e-05,7.617000701867987e-09,4.4118930087428265e-05,4.4146071432463935e-05,1.0,1.0,0.78,0.013131990788452971,0.10289377160078522,0.016798998839447587
J-S18-D95,mean_total_shift,inoculation,30,100,5.6458704288725505e-05,1.306101078651179e-06,6.562891195362585e-09,1.2920473494855894e-06,1.3161829457496899e-06,1.0,1.0,0.78,0.00038862369905368044,1.5224520658346172,0.016798998839447587
J-S18-D95,mean_total_shift,seeding_regime,30,100,5.6458704288725505e-05,9.716647482247802e-06,7.441178470541403e-09,9.700969762927173e-06,9.72992832929239e-06,1.0,1.0,0.78,0.002891138786020604,0.0033164402937190937,0.016798998839447587
