design,outcome,contrast,estimate,bootstrap_median,lo95,hi95
E-SD,conversion_rate,low-quality vs human-equivalent,4.076892474671849e-05,3.4092588231007196e-05,-0.00014982485938520344,0.00022897953819038012
S-A06,mean_total_shift,labeled vs mean unlabeled,-0.004915326606115291,-0.004915164705690443,-0.004970903857381802,-0.004858967108317224
S-A06,mean_total_shift,high-quality vs low-quality (unlabeled),-3.622723746285125e-05,-3.642855391925749e-05,-0.00014448565871773002,7.226077553642374e-05
S-A06,mean_total_shift,high-quality vs human-equivalent,-7.2676417803493876e-06,-6.749839833855575e-06,-8.332646885728075e-05,7.296074180919093e-05
S-A06,mean_total_shift,low-quality vs human-equivalent,2.8959595682501865e-05,2.9251440700256773e-05,-5.758412100535237e-05,0.000114919813780847
S-A06,mean_signed_shift,labeled vs mean unlabeled,-0.006109688787584838,-0.0061095039573253315,-0.006172096979193628,-0.006047981138563873
S-A06,mean_signed_shift,high-quality vs low-quality (unlabeled),-4.225944578818003e-05,-4.1219764838094225e-05,-0.00014136346426139615,6.19879074042117e-05
S-A06,mean_signed_shift,high-quality vs human-equivalent,-9.749548742606778e-06,-9.5670463558864e-06,-9.156094063418373e-05,7.498987856843688e-05
S-A06,mean_signed_shift,low-quality vs human-equivalent,3.250989704557325e-05,3.004671103564241e-05,-3.906666800325151e-05,0.00011063069872349226
S-A06,conversion_rate,labeled vs mean unlabeled,-0.004758622649529984,-0.004766508186611593,-0.005080331166242107,-0.0044578499918968804
S-A06,conversion_rate,high-quality vs low-quality (unlabeled),-0.00023993980016924835,-0.00023105166259246648,-0.000580541871880798,0.000139860972331774
S-A06,conversion_rate,high-quality vs human-equivalent,4.173910527433683e-05,5.309025879381146e-05,-0.0003960399604066375,0.0004963716492376596
S-A06,conversion_rate,low-quality vs human-equivalent,0.0002816789054435852,0.00027423357662275695,-0.0001682907438171114,0.0007291883041017873
S-A18,mean_total_shift,labeled vs mean unlabeled,-0.013278302346447848,-0.013279637421079588,-0.013449236863029589,-0.013126678241585732
S-A18,mean_total_shift,high-quality vs low-quality (unlabeled),-6.711773282958022e-06,-6.2895283771124966e-06,-0.00026583109075669595,0.00024043494445843448
S-A18,mean_total_shift,high-quality vs human-equivalent,9.46910742755519e-05,9.037227778603552e-05,-7.519205309674676e-05,0.000274455859286565
S-A18,mean_total_shift,low-quality vs human-equivalent,0.00010140284755850992,9.62460168101309e-05,-8.755240071697083e-05,0.0002857709687094985
S-A18,mean_signed_shift,labeled vs mean unlabeled,-0.017265685309958458,-0.017265061646067427,-0.017451979728701925,-0.017097466952157844
S-A18,mean_signed_shift,high-quality vs low-quality (unlabeled),-0.00011794427144889985,-0.00011537477321029929,-0.0004066258348687251,0.00016386668824581777
S-A18,mean_signed_shift,high-quality vs human-equivalent,9.865022242271093e-05,0.00010160669574972928,-9.986543923564196e-05,0.0002861356749445121
S-A18,mean_signed_shift,low-quality vs human-equivalent,0.00021659449387161078,0.00021486119760145972,-2.6461604153114856e-06,0.000445001306148428
S-A18,conversion_rate,labeled vs mean unlabeled,-0.026738132170052463,-0.02672077238562315,-0.027386536153031923,-0.02610378597966109
S-A18,conversion_rate,high-quality vs low-quality (unlabeled),-0.0005273406411948206,-0.0005203699127103584,-0.0012822768017983315,0.00026289100871842704
S-A18,conversion_rate,high-quality vs human-equivalent,-0.00012515487444375584,-0.0001249703009786815,-0.0009948427566481778,0.0007842663053033083
S-A18,conversion_rate,low-quality vs human-equivalent,0.00040218576675106477,0.0003949186871005095,-0.00024896137220125974,0.0010306654874551284
J-S06-D05,mean_total_shift,labeled vs mean unlabeled,-0.00023236272876016035,-0.00023224942094085478,-0.0002434655698786195,-0.00022072646764742672
J-S06-D05,mean_total_shift,high-quality vs low-quality (unlabeled),6.364402193200641e-06,6.2907274378166305e-06,-1.3104231090828999e-05,2.7316600085192973e-05
J-S06-D05,mean_total_shift,high-quality vs human-equivalent,8.514850536323927e-06,8.060400925082793e-06,-9.844612225804247e-06,2.5678428872795025e-05
J-S06-D05,mean_total_shift,low-quality vs human-equivalent,2.150448343123286e-06,1.9321386068598843e-06,-1.3047556016973907e-05,1.8131036313998744e-05
J-S06-D05,mean_signed_shift,labeled vs mean unlabeled,-0.00036696855630090493,-0.00036696955649753764,-0.0003830463880399395,-0.0003513799369198553
J-S06-D05,mean_signed_shift,high-quality vs low-quality (unlabeled),5.915745588309191e-06,5.706573948407643e-06,-1.3397928540393625e-05,2.3710847691513912e-05
J-S06-D05,mean_signed_shift,high-quality vs human-equivalent,7.5327062934741e-06,7.306520442308499e-06,-7.384173270697701e-06,2.304660197647326e-05
J-S06-D05,mean_signed_shift,low-quality vs human-equivalent,1.6169607051649089e-06,1.4625461176756929e-06,-1.4597415823124017e-05,1.930705240198707e-05
J-S06-D05,conversion_rate,labeled vs mean unlabeled,-0.00022619441189893465,-0.00022698516753484193,-0.00030639894519428584,-0.00014174616485161553
J-S06-D05,conversion_rate,high-quality vs low-quality (unlabeled),-2.4179540704227526e-05,-2.2128582882113834e-05,-0.0001747883319218119,0.00011845690327067529
J-S06-D05,conversion_rate,high-quality vs human-equivalent,-5.653258159080219e-05,-5.637176242447267e-05,-0.00018538939439360084,6.268230416707611e-05
J-S06-D05,conversion_rate,low-quality vs human-equivalent,-3.2353040886574664e-05,-3.296473923473464e-05,-0.00012460686755195858,6.811507828248197e-05
J-S06-D50,mean_total_shift,labeled vs mean unlabeled,-0.002449193872581596,-0.0024481090166754878,-0.002478183053147541,-0.0024180106719842
J-S06-D50,mean_total_shift,high-quality vs low-quality (unlabeled),4.241525121200136e-05,4.32870999740112e-05,-1.3732835716598334e-05,0.00010170640536339143
J-S06-D50,mean_total_shift,high-quality vs human-equivalent,2.9949102627388827e-05,3.1697277675548155e-05,-2.339013735569652e-05,8.73166244854312e-05
J-S06-D50,mean_total_shift,low-quality vs human-equivalent,-1.2466148584612535e-05,-1.2075090547738858e-05,-7.103494257145837e-05,4.507078473185563e-05
J-S06-D50,mean_signed_shift,labeled vs mean unlabeled,-0.0034885417602553044,-0.003488437068513672,-0.003525890696487462,-0.003445731741637776
