design,outcome,tau,omega,ss_sys,ss_mc,factor,allocation,p_sys,q_sys,rho,factor_ss
D-A95,mean_total_shift,0.13929664040367773,0.922721477885881,2.022505962375126,0.016341601316294384,message_condition,main,0.9839030098157757,0.1370543837504043,1.6816806591660074,1.9899497037512386
D-A95,mean_total_shift,0.13929664040367773,0.922721477885881,2.022505962375126,0.016341601316294384,message_condition,shapley,0.9851701595523427,0.13723089345159648,1.0751970031383535,1.9925125216486672
D-A95,mean_total_shift,0.13929664040367773,0.922721477885881,2.022505962375126,0.016341601316294384,inoculation,main,0.0012661233250848335,0.0001763667255210508,1.2924512406184818,0.0025607419740862956
D-A95,mean_total_shift,0.13929664040367773,0.922721477885881,2.022505962375126,0.016341601316294384,inoculation,shapley,0.0016971541985075394,0.00023640787809909658,0.8942850396987873,0.0034325044855514765
D-A95,mean_total_shift,0.13929664040367773,0.922721477885881,2.022505962375126,0.016341601316294384,seeding_regime,main,0.01030600595798327,0.001435592005927356,0.0017392586303291609,0.020843958498294738
D-A95,mean_total_shift,0.13929664040367773,0.922721477885881,2.022505962375126,0.016341601316294384,seeding_regime,shapley,0.01139020374708973,0.0015866171154829808,0.0018200717312682566,0.023036754991156483
S-A06,mean_total_shift,0.15650306599843342,0.21135016466191353,2.2723332249401644,0.003743058129470912,topology,main,0.0001588211213947504,2.4855992443587823e-05,0.1326524352611351,0.0003608945109675465
S-A06,mean_total_shift,0.15650306599843342,0.21135016466191353,2.2723332249401644,0.003743058129470912,topology,shapley,0.0003354631369994529,5.2501009469866885e-05,0.14223970624677237,0.000762284031946511
S-A06,mean_total_shift,0.15650306599843342,0.21135016466191353,2.2723332249401644,0.003743058129470912,message_condition,main,0.008612621625080117,0.0013479016906094484,0.016538983588318724,0.019570746272507704
S-A06,mean_total_shift,0.15650306599843342,0.21135016466191353,2.2723332249401644,0.003743058129470912,message_condition,shapley,0.014989182204861947,0.0023458529718700526,0.018379637570803402,0.03406041673878967
S-A06,mean_total_shift,0.15650306599843342,0.21135016466191353,2.2723332249401644,0.003743058129470912,inoculation,main,0.00021627662978094316,3.3847955664525694e-05,0.248044704361164,0.0004914525716293206
S-A06,mean_total_shift,0.15650306599843342,0.21135016466191353,2.2723332249401644,0.003743058129470912,inoculation,shapley,0.00043587513884997184,6.821579562251347e-05,0.25804709211421556,0.0009904535599341985
S-A06,mean_total_shift,0.15650306599843342,0.21135016466191353,2.2723332249401644,0.003743058129470912,seeding_regime,main,0.9775877611723741,0.15299548190602083,0.18535817363689114,2.221405150006856
S-A06,mean_total_shift,0.15650306599843342,0.21135016466191353,2.2723332249401644,0.003743058129470912,seeding_regime,shapley,0.9842394795192886,0.15403649622147095,0.1767014042773423,2.236520070609494
S-A18,mean_total_shift,1.4175609962121325,1.4306355174090415,20.582158755307397,0.025336871217080857,topology,main,0.00021988280089313734,0.0003116972822839898,1.6634782800601964,0.0045256627155442
S-A18,mean_total_shift,1.4175609962121325,1.4306355174090415,20.582158755307397,0.025336871217080857,topology,shapley,0.0003958447001312754,0.0005611340074633836,1.5202666994903449,0.00814733846054896
S-A18,mean_total_shift,1.4175609962121325,1.4306355174090415,20.582158755307397,0.025336871217080857,message_condition,main,0.006939054898346521,0.009836533574470775,0.12069594428697561,0.14282072952956154
S-A18,mean_total_shift,1.4175609962121325,1.4306355174090415,20.582158755307397,0.025336871217080857,message_condition,shapley,0.011837698947992104,0.016780660313575002,0.13147561183956313,0.24364539904510885
S-A18,mean_total_shift,1.4175609962121325,1.4306355174090415,20.582158755307397,0.025336871217080857,inoculation,main,0.00015968841388529006,0.0002263680670707671,1.6588712426205368,0.003286732285970274
S-A18,mean_total_shift,1.4175609962121325,1.4306355174090415,20.582158755307397,0.025336871217080857,inoculation,shapley,0.00028846172361426514,0.00040891208829570657,1.546834928071026,0.00593716499025841
S-A18,mean_total_shift,1.4175609962121325,1.4306355174090415,20.582158755307397,0.025336871217080857,seeding_regime,main,0.9823363085636811,1.3925216361828807,1.6870777098585457,20.21860185396032
S-A18,mean_total_shift,1.4175609962121325,1.4306355174090415,20.582158755307397,0.025336871217080857,seeding_regime,shapley,0.9874779946282625,1.3998102898027986,1.6057781759356224,20.324428852811483
